District,Name,Party,Location,Incumbent?,Unopposed?,Predecessor,Date last elected,Term ends,Turnout (last election),% of vote won,2016 Presidential turnout,% for Clinton (2016),% for Brown (2014),% for Obama (2012),Eligible for reelection? ,Voting age citizens (2015),Registered voters (2/10/2017 report),Democrat,Republican,No party preference/other,Gen Election Opponent's Party,Courage Campain score,Vote
1,Brian Dahle (I),R,Bieber,x,,N/A (redistricted),2016,2018,201528,0.738,,0.361,,,,,275604,80620,117007,77977,D,3,NAY
2,Jim Wood (I),D,Healdsburg,x,,D,2016,2018,189265,0.729,,0.622,,,,,270256,129500,62242,78514,R,91,AYE
3,James Gallagher (I),R,Nicolaus,x,,R,2016,2018,172777,0.63,,0.395,,,,,244621,78589,93958,72074,D,0,NAY
4,Cecilia Aguiar-Curry,D,Winters,,,D,2016,2018,186942,0.635,,0.628,,,,,255436,119054,60953,75429,R,n/a,AYE
5,Frank Bigelow (I),R,O'Neals,x,,N/A (redistricted),2016,2018,188593,0.645,,0.385,,,,,248419,77086,102960,68373,D,0,NAY
6,Kevin Kiley,R,Rocklin,,,R,2016,2018,231334,0.646,,0.412,,,,,301442,85890,134194,81358,D,n/a,NAY
7,Kevin McCarty (I),D,Sacramento,x,,D,2016,2018,159209,0.698,,0.675,,,,,242595,117714,50443,74438,R,100,AYE
8,Ken Cooley (I),D,Rancho Cordova,x,,N/A (redistricted),2016,2018,183400,0.57,,0.518,,,,,263704,104854,85817,73033,R,60,NAY
9,Jim Cooper (I),D,Elk Grove,x,,D,2016,2018,164708,0.668,,0.615,,,,,245221,113247,65478,66496,R,24,NAY
10,Marc Levine (I),D,Greenbrae,x,,D,2016,2018,205562,0.682,,0.757,,,,,278002,153808,47686,76508,D,72,AYE
11,Jim Frazier (I),D,Oakley,x,,N/A (redistricted),2016,2018,173819,0.642,,0.589,,,,,252870,117718,63221,71931,R,21,NAY
12,Heath Flora,R,Ripon,,,R,2016,2018,156113,0.523,,0.431,,,,,234148,81887,94047,58214,R,n/a,NAY
13,Susan Eggman (I),D,Stockton,x,,N/A (redistricted),2016,2018,133198,0.648,,0.63,,,,,212783,104936,54779,53068,R,71,AYE
